Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,146.0,-103.5,-90.0,top
C2,0.1uF,C_0603_1608Metric,143.5,-103.5,-90.0,top
C3,4.7uF,C_0805_2012Metric,138.0,-98.0,-90.0,top
C4,4.7uF,C_0805_2012Metric,146.0,-98.0,-90.0,top
D1,LED,LED_0603_1608Metric,140.0,-93.775,90.0,top
R1,2k,R_0402_1005Metric,143.5,-97.775,-90.0,top
R2,470,R_0805_2012Metric,140.5,-98.0,90.0,top
R3,1.2k,R_0805_2012Metric,148.0,-93.8625,-90.0,top
R4,3k,R_0603_1608Metric,151.0,-93.775,-90.0,top
SW1,SW_SPDT,SW_Lever_1P2T_NKK_GW12LxH,152.4375,-103.3975,0.0,top
U1,LEFT MOTOR,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,136.0,-94.025,0.0,top
U2,RIGHT MOTOR,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,154.5,-93.675,0.0,top
U3,MCP73831-2-OT,SOT-23-5,144.0,-93.775,0.0,top
