Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SFH_4544,DIO_SFH_4544,-50.6,25.98,-90.0,top
D2,BPV22NF,XDCR_BPV22NF,20.05,30.05,-90.0,top
D3,BPV22NF,XDCR_BPV22NF,-19.9575,54.1,0.0,top
D4,BPV22NF,XDCR_BPV22NF,-57.75,26.55,-90.0,top
D5,SFH_4544,DIO_SFH_4544,-50.5,38.27,-90.0,top
D6,SFH_4544,DIO_SFH_4544,-26.7,43.7,180.0,top
D7,SFH_4544,DIO_SFH_4544,-10.55,43.9,180.0,top
D8,SFH_4544,DIO_SFH_4544,11.8,24.7,90.0,top
D9,SFH_4544,DIO_SFH_4544,11.7,37.18,90.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,-19.9,5.275,90.0,top
JP1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-52.0,21.0,90.0,top
JP2,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-56.0,21.0,90.0,top
JP3,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-60.0,21.0,90.0,top
JP4,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-43.65,17.0,0.0,top
JP5,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-43.65,21.0,0.0,top
JP6,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-35.65,35.0,0.0,top
JP7,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-31.5,41.35,90.0,top
JP8,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-36.5,41.35,90.0,top
JP9,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-35.65,30.0,0.0,top
JP10,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-35.65,25.0,0.0,top
JP11,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-40.6,47.5,180.0,top
JP12,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-28.0,33.25,180.0,top
JP13,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-27.9,29.25,180.0,top
JP14,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-40.6,43.25,180.0,top
JP15,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-40.6,51.75,180.0,top
JP16,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-1.0,43.75,0.0,top
JP17,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-17.25,32.8,180.0,top
JP18,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-17.25,29.55,180.0,top
JP19,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-1.0,53.5,0.0,top
JP20,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-1.0,48.75,0.0,top
JP21,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,18.64375,16.55625,-90.0,top
JP22,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-1.0,18.95,180.0,top
JP23,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-0.95,16.05,180.0,top
JP24,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,13.84375,16.50625,-90.0,top
JP25,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,9.34375,16.55625,-90.0,top
JP26,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-2.1,35.35,180.0,top
JP27,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,7.65,41.75,0.0,top
JP28,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,7.65,44.8,0.0,top
JP29,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-2.15,29.95,180.0,top
JP30,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-2.2125,24.75,180.0,top
JP31,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-53.5,31.0,90.0,top
JP32,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-43.5,30.5,90.0,top
JP33,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,-48.5,31.0,90.0,top
